,COUB,Country of birth,FBORN,Place of birth,EDU,Education level,DOS,Duration of stay,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
8334,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,GRC,Greece,7491,,
8335,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,GRC,Greece,5877,,
8336,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,GRC,Greece,13368,,
8340,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,GRC,Greece,9482,,
8341,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,GRC,Greece,7044,,
8342,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,GRC,Greece,16526,,
8346,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,2,Women,GRC,Greece,61,,
8347,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,1,Men,GRC,Greece,40,,
8348,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,GRC,Greece,101,,
8352,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,GRC,Greece,2617,,
8353,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,GRC,Greece,2668,,
8354,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,GRC,Greece,5285,,
8358,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,GRC,Greece,5482,,
8359,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,GRC,Greece,3627,,
8360,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,GRC,Greece,9109,,
8364,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,GRC,Greece,17642,,
8365,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,GRC,Greece,13379,,
8366,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,GRC,Greece,31021,,
9850,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,IRL,Ireland,516,,
9851,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,IRL,Ireland,402,,
9852,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,IRL,Ireland,918,,
9856,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,2,Women,IRL,Ireland,36,,
9857,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,1,Men,IRL,Ireland,36,,
9858,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,ALL_SEX,Men and women,IRL,Ireland,72,,
9862,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,IRL,Ireland,117,,
9863,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,IRL,Ireland,162,,
9864,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,IRL,Ireland,279,,
9868,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,IRL,Ireland,1971,,
9869,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,IRL,Ireland,1431,,
9870,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,IRL,Ireland,3402,,
9874,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,IRL,Ireland,2640,,
9875,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,IRL,Ireland,2031,,
9876,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,IRL,Ireland,4671,,
9880,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,IRL,Ireland,1005,,
9881,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,IRL,Ireland,735,,
9882,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,IRL,Ireland,1740,,
9886,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,2,Women,IRL,Ireland,69,,
9887,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,1,Men,IRL,Ireland,60,,
9888,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,ALL_SEX,Men and women,IRL,Ireland,129,,
9892,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,IRL,Ireland,600,,
9893,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,IRL,Ireland,579,,
9894,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,IRL,Ireland,1179,,
9898,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,IRL,Ireland,1929,,
9899,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,IRL,Ireland,1287,,
9900,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,IRL,Ireland,3216,,
9904,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,IRL,Ireland,3603,,
9905,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,IRL,Ireland,2661,,
9906,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,IRL,Ireland,6264,,
9910,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,IRL,Ireland,276,,
9911,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,IRL,Ireland,204,,
9912,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,IRL,Ireland,480,,
9916,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,2,Women,IRL,Ireland,30,,
9917,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,1,Men,IRL,Ireland,15,,
9918,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,ALL_SEX,Men and women,IRL,Ireland,45,,
9922,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,IRL,Ireland,144,,
9923,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,IRL,Ireland,153,,
9924,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,IRL,Ireland,297,,
9928,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,IRL,Ireland,873,,
9929,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,IRL,Ireland,645,,
9930,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,IRL,Ireland,1518,,
9934,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,IRL,Ireland,1323,,
9935,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,IRL,Ireland,1017,,
9936,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,IRL,Ireland,2340,,
9940,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,IRL,Ireland,609,,
9941,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,IRL,Ireland,510,,
9942,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,IRL,Ireland,1119,,
9946,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,2,Women,IRL,Ireland,300,,
9947,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,1,Men,IRL,Ireland,261,,
9948,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,ALL_SEX,Men and women,IRL,Ireland,561,,
9952,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,IRL,Ireland,510,,
9953,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,IRL,Ireland,549,,
9954,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,IRL,Ireland,1059,,
9958,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,IRL,Ireland,1050,,
9959,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,IRL,Ireland,870,,
9960,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,IRL,Ireland,1920,,
9964,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,IRL,Ireland,2469,,
9965,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,IRL,Ireland,2190,,
9966,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,IRL,Ireland,4659,,
9970,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,IRL,Ireland,2406,,
9971,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,IRL,Ireland,1851,,
9972,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,IRL,Ireland,4257,,
9976,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,2,Women,IRL,Ireland,435,,
9977,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,1,Men,IRL,Ireland,372,,
9978,NOAM,North America,1,Foreign-born,99,Unknown education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,IRL,Ireland,807,,
9982,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,IRL,Ireland,1371,,
9983,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,IRL,Ireland,1443,,
9984,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,IRL,Ireland,2814,,
9988,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,IRL,Ireland,5823,,
9989,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,IRL,Ireland,4233,,
9990,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,IRL,Ireland,10056,,
9994,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,IRL,Ireland,10035,,
9995,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,IRL,Ireland,7899,,
9996,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,IRL,Ireland,17934,,
10998,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,ITA,Italy,657,,
10999,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,ITA,Italy,550,,
11000,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,ITA,Italy,1207,,
11004,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,ITA,Italy,472,,
11005,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,ITA,Italy,430,,
11006,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,ITA,Italy,902,,
11010,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,ITA,Italy,1392,,
11011,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,ITA,Italy,1213,,
11012,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,ITA,Italy,2605,,
11016,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,ITA,Italy,2521,,
11017,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,ITA,Italy,2193,,
11018,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,ITA,Italy,4714,,
11022,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,ITA,Italy,2233,,
11023,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,ITA,Italy,1433,,
11024,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,ITA,Italy,3666,,
11028,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,ITA,Italy,1842,,
11029,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,ITA,Italy,1087,,
11030,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,ITA,Italy,2929,,
11034,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,ITA,Italy,2078,,
11035,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,ITA,Italy,1400,,
11036,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,ITA,Italy,3478,,
11040,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,ITA,Italy,6153,,
11041,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,ITA,Italy,3920,,
11042,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,ITA,Italy,10073,,
11046,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,ITA,Italy,403,,
11047,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,ITA,Italy,202,,
11048,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,ITA,Italy,605,,
11052,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,ITA,Italy,220,,
11053,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,ITA,Italy,141,,
11054,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,ITA,Italy,361,,
11058,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,ITA,Italy,660,,
11059,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,ITA,Italy,451,,
11060,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,ITA,Italy,1111,,
11064,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,ITA,Italy,1283,,
11065,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,ITA,Italy,794,,
11066,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,ITA,Italy,2077,,
11070,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,ITA,Italy,11904,,
11071,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,ITA,Italy,9213,,
11072,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,ITA,Italy,21117,,
11076,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,ITA,Italy,12912,,
11077,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,ITA,Italy,8948,,
11078,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,ITA,Italy,21860,,
11082,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,ITA,Italy,5147,,
11083,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,ITA,Italy,3005,,
11084,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,ITA,Italy,8152,,
11088,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,ITA,Italy,29963,,
11089,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,ITA,Italy,21166,,
11090,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,ALL_SEX,Men and women,ITA,Italy,51129,,
11094,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,2,Women,ITA,Italy,15197,,
11095,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,1,Men,ITA,Italy,11398,,
11096,NOAM,North America,1,Foreign-born,2,ISCED 3/4,ALL_DOS,All durations of stay,ALL_SEX,Men and women,ITA,Italy,26595,,
11100,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,2,Women,ITA,Italy,15446,,
11101,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,1,Men,ITA,Italy,10606,,
11102,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,ALL_DOS,All durations of stay,ALL_SEX,Men and women,ITA,Italy,26052,,
11106,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,2,Women,ITA,Italy,9277,,
11107,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,1,Men,ITA,Italy,6069,,
11108,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,ALL_DOS,All durations of stay,ALL_SEX,Men and women,ITA,Italy,15346,,
11112,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,2,Women,ITA,Italy,39920,,
11113,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,1,Men,ITA,Italy,28073,,
11114,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,ALL_DOS,All durations of stay,ALL_SEX,Men and women,ITA,Italy,67993,,
11982,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,2,Women,LUX,Luxembourg,65,,
11983,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,1,Men,LUX,Luxembourg,59,,
11984,NOAM,North America,1,Foreign-born,2,ISCED 3/4,1_3,Up to 5 years,ALL_SEX,Men and women,LUX,Luxembourg,124,,
11988,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,2,Women,LUX,Luxembourg,50,,
11989,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,1,Men,LUX,Luxembourg,59,,
11990,NOAM,North America,1,Foreign-born,99,Unknown education,1_3,Up to 5 years,ALL_SEX,Men and women,LUX,Luxembourg,109,,
11994,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,2,Women,LUX,Luxembourg,10,,
11995,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,1,Men,LUX,Luxembourg,7,,
11996,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,1_3,Up to 5 years,ALL_SEX,Men and women,LUX,Luxembourg,17,,
12000,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,2,Women,LUX,Luxembourg,177,,
12001,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,1,Men,LUX,Luxembourg,197,,
12002,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,1_3,Up to 5 years,ALL_SEX,Men and women,LUX,Luxembourg,374,,
12006,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,2,Women,LUX,Luxembourg,302,,
12007,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,1,Men,LUX,Luxembourg,322,,
12008,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,1_3,Up to 5 years,ALL_SEX,Men and women,LUX,Luxembourg,624,,
12012,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,2,Women,LUX,Luxembourg,53,,
12013,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,1,Men,LUX,Luxembourg,61,,
12014,NOAM,North America,1,Foreign-born,2,ISCED 3/4,5_6,More than 10 years,ALL_SEX,Men and women,LUX,Luxembourg,114,,
12018,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,2,Women,LUX,Luxembourg,16,,
12019,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,1,Men,LUX,Luxembourg,24,,
12020,NOAM,North America,1,Foreign-born,99,Unknown education,5_6,More than 10 years,ALL_SEX,Men and women,LUX,Luxembourg,40,,
12024,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,2,Women,LUX,Luxembourg,12,,
12025,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,1,Men,LUX,Luxembourg,11,,
12026,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,5_6,More than 10 years,ALL_SEX,Men and women,LUX,Luxembourg,23,,
12030,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,2,Women,LUX,Luxembourg,48,,
12031,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,1,Men,LUX,Luxembourg,59,,
12032,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,5_6,More than 10 years,ALL_SEX,Men and women,LUX,Luxembourg,107,,
12036,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,2,Women,LUX,Luxembourg,129,,
12037,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,1,Men,LUX,Luxembourg,155,,
12038,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,5_6,More than 10 years,ALL_SEX,Men and women,LUX,Luxembourg,284,,
12042,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,2,Women,LUX,Luxembourg,16,,
12043,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,1,Men,LUX,Luxembourg,14,,
12044,NOAM,North America,1,Foreign-born,2,ISCED 3/4,4,5 to 10 years,ALL_SEX,Men and women,LUX,Luxembourg,30,,
12048,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,2,Women,LUX,Luxembourg,5,,
12049,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,1,Men,LUX,Luxembourg,8,,
12050,NOAM,North America,1,Foreign-born,99,Unknown education,4,5 to 10 years,ALL_SEX,Men and women,LUX,Luxembourg,13,,
12054,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,2,Women,LUX,Luxembourg,2,,
12055,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,1,Men,LUX,Luxembourg,2,,
12056,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,4,5 to 10 years,ALL_SEX,Men and women,LUX,Luxembourg,4,,
12060,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,2,Women,LUX,Luxembourg,33,,
12061,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,1,Men,LUX,Luxembourg,35,,
12062,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,4,5 to 10 years,ALL_SEX,Men and women,LUX,Luxembourg,68,,
12066,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,2,Women,LUX,Luxembourg,56,,
12067,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,1,Men,LUX,Luxembourg,59,,
12068,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,4,5 to 10 years,ALL_SEX,Men and women,LUX,Luxembourg,115,,
12072,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,2,Women,LUX,Luxembourg,10,,
12073,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,1,Men,LUX,Luxembourg,9,,
12074,NOAM,North America,1,Foreign-born,2,ISCED 3/4,99,Unknown duration of stay,ALL_SEX,Men and women,LUX,Luxembourg,19,,
12078,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,2,Women,LUX,Luxembourg,27,,
12079,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,1,Men,LUX,Luxembourg,29,,
12080,NOAM,North America,1,Foreign-born,99,Unknown education,99,Unknown duration of stay,ALL_SEX,Men and women,LUX,Luxembourg,56,,
12084,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,2,Women,LUX,Luxembourg,6,,
12085,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,1,Men,LUX,Luxembourg,4,,
12086,NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,99,Unknown duration of stay,ALL_SEX,Men and women,LUX,Luxembourg,10,,
12090,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,2,Women,LUX,Luxembourg,6,,
12091,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,1,Men,LUX,Luxembourg,6,,
12092,NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,99,Unknown duration of stay,ALL_SEX,Men and women,LUX,Luxembourg,12,,
12096,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,2,Women,LUX,Luxembourg,49,,
12097,NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown duration of stay,1,Men,LUX,Luxembourg,48,,
